grupo,item,month,temporada_level,in_source_matrix
HORTALIZA,ACELGA,1,MAYOR,1
HORTALIZA,ACELGA,2,MAYOR,1
HORTALIZA,ACELGA,3,MAYOR,1
HORTALIZA,ACELGA,4,MAYOR,1
HORTALIZA,ACELGA,5,MAYOR,1
HORTALIZA,ACELGA,6,MENOR,1
HORTALIZA,ACELGA,7,MENOR,1
HORTALIZA,ACELGA,8,MAYOR,1
HORTALIZA,ACELGA,9,MAYOR,1
HORTALIZA,ACELGA,10,MAYOR,1
HORTALIZA,ACELGA,11,MAYOR,1
HORTALIZA,ACELGA,12,MAYOR,1
HORTALIZA,AJO,1,MAYOR,1
HORTALIZA,AJO,2,MAYOR,1
HORTALIZA,AJO,3,MAYOR,1
HORTALIZA,AJO,4,MAYOR,1
HORTALIZA,AJO,5,MAYOR,1
HORTALIZA,AJO,6,MAYOR,1
HORTALIZA,AJO,7,MAYOR,1
HORTALIZA,AJO,8,MAYOR,1
HORTALIZA,AJO,9,MAYOR,1
HORTALIZA,AJO,10,MAYOR,1
HORTALIZA,AJO,11,MAYOR,1
HORTALIZA,AJO,12,MAYOR,1
HORTALIZA,ALCACHOFA,1,MAYOR,1
HORTALIZA,ALCACHOFA,2,MAYOR,1
HORTALIZA,ALCACHOFA,3,MAYOR,1
HORTALIZA,ALCACHOFA,4,MAYOR,1
HORTALIZA,ALCACHOFA,5,MAYOR,1
HORTALIZA,ALCACHOFA,6,MENOR,1
HORTALIZA,ALCACHOFA,7,,1
HORTALIZA,ALCACHOFA,8,,1
HORTALIZA,ALCACHOFA,9,,1
HORTALIZA,ALCACHOFA,10,MENOR,1
HORTALIZA,ALCACHOFA,11,MENOR,1
HORTALIZA,ALCACHOFA,12,MAYOR,1
HORTALIZA,APIO,1,MAYOR,1
HORTALIZA,APIO,2,MAYOR,1
HORTALIZA,APIO,3,MAYOR,1
HORTALIZA,APIO,4,MENOR,1
HORTALIZA,APIO,5,,1
HORTALIZA,APIO,6,,1
HORTALIZA,APIO,7,,1
HORTALIZA,APIO,8,,1
HORTALIZA,APIO,9,,1
HORTALIZA,APIO,10,,1
HORTALIZA,APIO,11,MAYOR,1
HORTALIZA,APIO,12,MAYOR,1
HORTALIZA,BERENJENA,1,MAYOR,1
HORTALIZA,BERENJENA,2,MAYOR,1
HORTALIZA,BERENJENA,3,MAYOR,1
HORTALIZA,BERENJENA,4,MAYOR,1
HORTALIZA,BERENJENA,5,MAYOR,1
