country,geographic_scope,item_source_label,item_slug,source_category,month,is_in_season
France,national consumer-facing ADEME tool,Ail,ail,herbes,1,0
France,national consumer-facing ADEME tool,Ail,ail,herbes,2,0
France,national consumer-facing ADEME tool,Ail,ail,herbes,3,0
France,national consumer-facing ADEME tool,Ail,ail,herbes,4,0
France,national consumer-facing ADEME tool,Ail,ail,herbes,5,0
France,national consumer-facing ADEME tool,Ail,ail,herbes,6,0
France,national consumer-facing ADEME tool,Ail,ail,herbes,7,1
France,national consumer-facing ADEME tool,Ail,ail,herbes,8,1
France,national consumer-facing ADEME tool,Ail,ail,herbes,9,1
France,national consumer-facing ADEME tool,Ail,ail,herbes,10,1
France,national consumer-facing ADEME tool,Ail,ail,herbes,11,1
France,national consumer-facing ADEME tool,Ail,ail,herbes,12,1
France,national consumer-facing ADEME tool,Ananas,ananas,fruits,1,1
France,national consumer-facing ADEME tool,Ananas,ananas,fruits,2,1
France,national consumer-facing ADEME tool,Ananas,ananas,fruits,3,1
France,national consumer-facing ADEME tool,Ananas,ananas,fruits,4,1
France,national consumer-facing ADEME tool,Ananas,ananas,fruits,5,1
France,national consumer-facing ADEME tool,Ananas,ananas,fruits,6,1
France,national consumer-facing ADEME tool,Ananas,ananas,fruits,7,1
France,national consumer-facing ADEME tool,Ananas,ananas,fruits,8,1
France,national consumer-facing ADEME tool,Ananas,ananas,fruits,9,1
France,national consumer-facing ADEME tool,Ananas,ananas,fruits,10,1
France,national consumer-facing ADEME tool,Ananas,ananas,fruits,11,1
France,national consumer-facing ADEME tool,Ananas,ananas,fruits,12,1
France,national consumer-facing ADEME tool,Artichaut,artichaut,légumes,1,0
France,national consumer-facing ADEME tool,Artichaut,artichaut,légumes,2,0
France,national consumer-facing ADEME tool,Artichaut,artichaut,légumes,3,0
France,national consumer-facing ADEME tool,Artichaut,artichaut,légumes,4,0
France,national consumer-facing ADEME tool,Artichaut,artichaut,légumes,5,1
France,national consumer-facing ADEME tool,Artichaut,artichaut,légumes,6,1
France,national consumer-facing ADEME tool,Artichaut,artichaut,légumes,7,1
France,national consumer-facing ADEME tool,Artichaut,artichaut,légumes,8,1
France,national consumer-facing ADEME tool,Artichaut,artichaut,légumes,9,1
France,national consumer-facing ADEME tool,Artichaut,artichaut,légumes,10,0
France,national consumer-facing ADEME tool,Artichaut,artichaut,légumes,11,0
France,national consumer-facing ADEME tool,Artichaut,artichaut,légumes,12,0
