item,category,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,peak_months,stored_notes,regions_notes,specialist_sources
aubergine,vegetable,I,I,I,I,I,.,.,.,.,.,I,I,,,"Harvest months for Sanya, Hainan.",海南省农业农村厅
Avocado,fruit,.,.,.,.,.,I,I,I,I,I,I,I,,,Harvest months for Hainan.,海南省农业农村厅
Cherry tomato,vegetable,.,.,I,I,I,.,.,.,.,.,.,.,,,"Harvest months for Tanli, Ding'an, Hainan.",椰岛农事
chillies,vegetable,.,.,.,I,I,I,I,I,.,.,.,.,,,"Harvest months for Longhu, Ding'an, Hainan.",海南日报
Chinese yam,vegetable,.,.,.,.,.,.,.,.,.,I,.,.,,,"Harvest months for Hainan, Hainan.",海南日报
Cowpea,vegetable,I,I,I,.,.,.,.,.,.,.,.,I,,,"Harvest months for Ledong, Hainan.",海南日报
cucumber,vegetable,I,I,I,I,I,.,.,.,.,.,I,I,,,"Harvest months for Sanya, Hainan.",海南省农业农村厅
Green pomelo,fruit,.,.,.,.,.,I,I,I,.,.,.,.,,,Harvest months for Hainan.,海南网
Hami melon,fruit,I,I,I,I,I,.,.,.,.,.,I,I,,,"Harvest months for Dongfang, Hainan.",中新网海南
Indian jujube / green jujube,fruit,I,I,I,I,.,.,.,.,.,.,.,I,,,"Harvest months for Ledong and Dongfang, Hainan.",一亩田
mango,fruit,I,I,I,I,I,.,.,.,.,.,.,I,,,Harvest months for Hainan.,海南省农业农村厅
Orange,fruit,.,.,.,.,.,.,.,.,.,I,I,I,,,"Harvest months for Qiongzhong, Hainan.",海南新闻发布厅
Sweet potato,vegetable,I,I,I,I,I,I,I,.,.,.,I,I,,,Harvest months for Hainan.,中国日报网 海南
sweetcorn,vegetable,I,I,I,I,.,.,.,.,.,.,I,I,,,Harvest months for Hainan.,中国经济网
Taro,vegetable,.,.,.,.,.,.,.,I,I,I,.,.,,,"Harvest months for Zhonghe, Danzhou, Hainan.",央视网 三农频道
Watermelon,fruit,.,I,I,I,.,.,.,.,.,.,.,.,,,"Harvest months for Hou'an, Wanning, Hainan.",海南扶贫网
Wax gourd,vegetable,.,.,.,I,.,.,.,.,.,.,.,.,,,"Harvest months for Shangen, Wanning, Hainan.",海南在线
