item,category,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,peak_months,stored_notes,regions_notes,specialist_sources,source_label,source_group
aglio,vegetable,.,.,.,I,I,I,I,I,I,I,I,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",aglio,verdura
albicocche,fruit,.,.,.,.,.,I,I,.,.,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",albicocche,frutta
amarene,fruit,.,.,.,.,.,I,I,.,.,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",amarene,frutta
angurie,fruit,.,.,.,.,.,.,I,I,.,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",angurie,frutta
arance,fruit,I,I,I,I,.,.,.,.,.,.,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",arance,frutta
asparagi,vegetable,.,.,I,I,I,I,.,.,.,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",asparagi,verdura
bietole da coste,vegetable,I,I,I,I,I,I,I,I,I,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",bietole da coste,verdura
broccoli,vegetable,I,I,I,.,.,.,.,.,I,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",broccoli,verdura
carciofi,vegetable,I,I,I,I,.,.,.,.,.,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",carciofi,verdura
carote,vegetable,I,I,I,I,I,I,I,I,I,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",carote,verdura
castagne,fruit,.,.,.,.,.,.,.,.,.,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",castagne,frutta
cavolfiori,vegetable,I,I,I,I,.,.,.,.,.,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",cavolfiori,verdura
cavoli,vegetable,I,I,I,I,I,I,I,I,I,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",cavoli,verdura
cetrioli,vegetable,.,.,.,.,.,I,I,I,I,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",cetrioli,verdura
cicoria,vegetable,I,I,I,I,I,I,I,I,I,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",cicoria,verdura
ciliegie,fruit,.,.,.,.,I,I,I,.,.,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",ciliegie,frutta
cipolline,vegetable,.,.,I,I,I,.,.,.,.,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",cipolline,verdura
clementine,fruit,I,I,.,.,.,.,.,.,.,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",clementine,frutta
fagioli,vegetable,.,.,.,.,I,I,I,I,I,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",fagioli,verdura
fagiolini,vegetable,.,.,.,.,I,I,I,I,I,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",fagiolini,verdura
fave,vegetable,.,.,.,.,I,I,I,.,.,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",fave,verdura
fichi,fruit,.,.,.,.,.,I,I,I,I,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",fichi,frutta
finocchi,vegetable,I,I,I,I,I,.,.,.,.,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",finocchi,verdura
fragole,fruit,.,.,.,I,I,I,I,I,.,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",fragole,frutta
insalata,vegetable,.,.,I,I,I,I,I,I,I,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",insalata,verdura
kaki,fruit,.,.,.,.,.,.,.,.,.,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",kaki,frutta
lamponi,fruit,.,.,.,.,I,I,I,I,I,I,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",lamponi,frutta
limoni,fruit,I,I,I,I,.,.,.,.,.,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",limoni,frutta
mandarini,fruit,I,I,.,.,.,.,.,.,.,.,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",mandarini,frutta
melanzane,vegetable,.,.,.,.,.,I,I,I,I,I,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",melanzane,verdura
mele,fruit,I,I,I,I,I,.,.,I,I,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",mele,frutta
meloni,fruit,.,.,.,.,I,I,I,I,I,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",meloni,frutta
mirtilli,fruit,.,.,.,.,.,.,I,I,I,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",mirtilli,frutta
nespole,fruit,.,.,.,I,I,.,.,.,.,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",nespole,frutta
peperoni,vegetable,.,.,.,.,.,I,I,I,I,I,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",peperoni,verdura
pere,fruit,I,I,I,I,I,.,.,I,I,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",pere,frutta
pesche,fruit,.,.,.,.,.,I,I,I,I,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",pesche,frutta
piselli,vegetable,.,.,.,.,I,I,.,.,.,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",piselli,verdura
pomodori,vegetable,.,.,.,.,I,I,I,I,I,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",pomodori,verdura
pompelmi,fruit,I,I,I,I,I,.,.,.,.,.,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",pompelmi,frutta
prugne,fruit,.,.,.,.,.,.,I,I,I,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",prugne,frutta
radicchio,vegetable,I,I,I,I,I,I,I,I,I,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",radicchio,verdura
rape,vegetable,I,I,I,.,.,.,.,.,.,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",rape,verdura
ravanelli,vegetable,.,.,.,I,I,I,I,I,I,I,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",ravanelli,verdura
sedano,vegetable,.,I,I,I,I,I,I,I,I,I,I,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",sedano,verdura
spinaci,vegetable,I,I,I,I,I,.,.,.,I,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",spinaci,verdura
susine,fruit,.,.,.,.,.,I,I,I,I,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",susine,frutta
uva,fruit,.,.,.,.,.,.,.,I,I,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",uva,frutta
zucche,vegetable,I,I,.,.,.,.,.,I,I,I,I,I,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",zucche,verdura
zucchine,vegetable,.,.,.,.,.,I,I,I,I,.,.,.,,,,"MIPAAF/MASAF, Calendario stagionalità di frutta e verdura (AULSS 9 Scaligera)",zucchine,verdura
