item,category,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,peak_months,stored_notes,regions_notes,specialist_sources
apple,fruit,.,.,.,.,.,.,.,.,.,I,I,.,,,"Harvest months for Fengxian, Xuzhou, Jiangsu.",中国江苏网
asparagus,vegetable,.,.,I,I,I,I,I,I,I,I,.,.,,,Harvest months for Jiangsu.,中国江苏网
Black tatsoi,vegetable,I,I,.,.,.,.,.,.,.,.,.,I,,,"Harvest months for Rugao, Nantong, Jiangsu.",南通市人民政府
blueberry,fruit,.,.,.,.,I,I,I,.,.,.,.,.,,,"Harvest months for Lishui, Nanjing, Jiangsu.",南京市农业农村局
broccoli,vegetable,.,.,.,.,.,.,.,I,I,I,.,.,,,"Harvest months for Xiangshui, Yancheng, Jiangsu.",我苏网
cherry,fruit,.,.,.,I,I,I,.,.,.,.,.,.,,,"Harvest months for Changzhou, Jiangsu.",中国江苏网
chestnut,nut,.,.,.,.,.,.,.,.,I,I,.,.,,,"Harvest months for Dongshan, Wuzhong, Suzhou, Jiangsu.",苏州市农业农村局
chillies,vegetable,.,.,.,.,I,I,I,I,I,I,I,.,,,"Harvest months for Yandong, Tinghu, Yancheng, Jiangsu.",中共江苏省委新闻网
Chinese bayberry,fruit,.,.,.,.,.,I,.,.,.,.,.,.,,,"Harvest months for Dongshan, Wuzhong, Suzhou, Jiangsu.",苏州市农业农村局
Chinese yam,vegetable,.,.,.,.,.,.,.,.,.,.,I,.,,,Harvest months for Jiangsu.,新华报业网
Citrus,fruit,.,.,.,.,.,.,.,.,.,I,I,.,,,"Harvest months for Binhu, Wuxi, Jiangsu.",无锡市滨湖区人民政府
Cuiguan pear,fruit,.,.,.,.,.,.,I,I,.,.,.,.,,,"Harvest months for Tong'an, Suzhou New District, Jiangsu.",苏州市农业农村局
fig,fruit,.,.,.,.,.,.,I,I,I,I,I,.,,,"Harvest months for Yangzhong, Zhenjiang, Jiangsu.",中国江苏网
garlic,vegetable,.,.,.,.,I,.,.,.,.,.,.,.,,,"Harvest months for Pizhou, Xuzhou, Jiangsu.",澎湃新闻
Grape,fruit,.,.,.,.,.,.,I,I,I,I,.,.,,,"Harvest months for Jiangxinzhou, Jianye, Nanjing, Jiangsu.",南京市建邺区人民政府
Honey peach,fruit,.,.,.,I,I,I,I,I,I,I,I,.,,,"Harvest months for Xinyi, Xuzhou, Jiangsu.",中国江苏网
Loquat,fruit,.,.,.,.,I,I,.,.,.,.,.,.,,,"Harvest months for Wuzhong, Suzhou, Jiangsu.",苏州市人民政府
Luhao,vegetable,I,I,I,I,I,.,.,.,.,.,.,I,,,"Harvest months for Suqian, Jiangsu.",中国江苏网
Malan greens,vegetable,.,.,I,I,.,.,.,.,.,.,.,.,,,"Harvest months for Yangzhou, Jiangsu.",中国江苏网
melon,fruit,.,.,.,I,I,I,I,I,.,.,.,.,,,"Harvest months for Sancang, Dongtai, Yancheng, Jiangsu.",盐城市农业农村局
pear,fruit,.,.,.,.,.,I,I,I,I,.,.,.,,,Harvest months for Jiangsu.,扬子晚报
Persimmon,fruit,.,.,.,.,.,.,.,.,I,I,I,.,,,"Harvest months for Gucheng, Gaochun, Nanjing, Jiangsu.",新华报业网
Shepherd's purse,vegetable,.,.,I,I,I,.,.,.,.,.,.,.,,,"Harvest months for Wuxi, Jiangsu.",中国江苏网
Shiitake,vegetable,I,I,I,I,.,.,.,.,.,.,I,I,,,"Harvest months for Pingwang, Wujiang, Suzhou, Jiangsu.",扬子晚报
strawberry,fruit,I,I,I,I,I,.,.,.,.,.,.,I,,,"Harvest months for Xiangshui, Yancheng, Jiangsu.",央广网
Sweet pea,vegetable,.,.,.,I,.,.,.,.,.,.,.,.,,,"Harvest months for Tengxing, Fenjie, Taizhou, Jiangsu.",中共江苏省委新闻网
Water celery,vegetable,I,I,.,.,.,.,.,.,.,.,I,I,,,"Harvest months for Yangzhou, Jiangsu.",中国江苏网
Watermelon,fruit,.,.,.,I,I,I,I,.,.,.,.,.,,,"Harvest months for Xiangshui, Yancheng, Jiangsu.",中国江苏网
Winter jujube,fruit,.,.,.,.,.,.,I,I,I,I,I,I,,,"Harvest months for Nantong, Jiangsu.",中国江苏网
Yangshan honey peach,fruit,.,.,.,.,.,I,I,I,.,.,.,.,,,"Harvest months for Yangshan, Huishan, Wuxi, Jiangsu.",腾讯新闻
Yellow peach,fruit,.,.,.,.,.,.,.,I,.,.,.,.,,,"Harvest months for Suzhou, Jiangsu.",扬子晚报
