sgc_code,alpha_code,province_or_territory,produce_group,produce_item,month,available,semantic_type,source_label,source_id
35,ON,Ontario,fruit,Apples,January,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apples,February,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apples,March,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apples,April,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apples,May,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apples,June,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apples,July,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apples,August,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apples,September,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apples,October,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apples,November,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apples,December,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apricots,January,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apricots,February,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apricots,March,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apricots,April,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apricots,May,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apricots,June,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apricots,July,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apricots,August,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apricots,September,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apricots,October,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apricots,November,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Apricots,December,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Blueberries,January,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Blueberries,February,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Blueberries,March,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Blueberries,April,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Blueberries,May,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Blueberries,June,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Blueberries,July,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Blueberries,August,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Blueberries,September,1,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Blueberries,October,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Blueberries,November,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Blueberries,December,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Cherries,January,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Cherries,February,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Cherries,March,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Cherries,April,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
35,ON,Ontario,fruit,Cherries,May,0,purchase_availability,Foodland Ontario Availability Guide,ON-FOODLAND-AVAIL
