item,category,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,peak_months,stored_notes,regions_notes,specialist_sources
apple,fruit,.,.,.,.,.,.,I,I,I,I,I,.,,,"Harvest months for Yanyuan, Liangshan, Sichuan.",四川在线 凉山
apricot,fruit,.,.,.,.,I,I,.,.,.,.,.,.,,,"Harvest months for Dazhou, Sichuan.",四川在线·达州
Blood orange,fruit,I,I,I,I,I,.,.,.,.,.,.,I,,,Harvest months for Sichuan.,四川在线
blueberry,fruit,.,.,.,.,I,I,.,.,.,.,.,.,,,Harvest months for Sichuan.,四川在线
chestnut,nut,.,.,.,.,.,.,I,I,I,.,.,.,,,"Harvest months for Dechang, Liangshan, Sichuan.",四川在线·凉山
Chinese cabbage,vegetable,.,.,.,.,I,I,I,I,I,I,I,.,,,"Harvest months for Li County, Ngawa, Sichuan.",川观新闻
Chinese mallow,vegetable,I,I,I,.,.,.,.,.,.,I,I,I,,,"Harvest months for Luzhou, Sichuan.",四川在线·泸州
Chinese yam,vegetable,I,I,I,I,.,.,.,.,.,.,I,I,,,"Harvest months for Baoxing, Ya'an, Sichuan.",川观新闻
Chunjian mandarin,fruit,I,I,I,.,.,.,.,.,.,.,.,I,,,"Harvest months for Pujiang, Chengdu, Sichuan.",四川在线
Crisp plum,fruit,.,.,.,.,.,.,I,I,I,.,.,.,,,Harvest months for Sichuan.,四川在线
cucumber,vegetable,.,.,.,.,.,.,.,.,I,I,I,.,,,"Harvest months for Luzhou, Sichuan.",四川在线·泸州
Edamame,vegetable,.,.,.,.,.,I,I,I,I,I,.,.,,,Harvest months for Sichuan.,四川省农业农村厅
Erjingtiao chilli,vegetable,.,.,.,.,.,.,I,I,.,.,.,.,,,"Harvest months for Shuangliu, Chengdu, Sichuan.",中国地理标志产品
Grape,fruit,.,.,.,.,.,.,I,I,I,I,I,.,,,"Harvest months for Dazhou, Sichuan.",四川在线·达州
Lemon,fruit,I,.,.,.,.,.,.,.,.,I,I,I,,,"Harvest months for Anyue, Ziyang, Sichuan.",四川在线
Loquat,fruit,.,.,.,I,I,I,.,.,.,.,.,.,,,"Harvest months for Luzhou, Sichuan.",四川在线·泸州
mango,fruit,.,.,.,.,.,I,I,I,I,I,I,I,,,"Harvest months for Panzhihua, Sichuan.",四川在线
Matsutake,vegetable,.,.,.,.,.,.,I,I,I,.,.,.,,,"Harvest months for Ganzi, Sichuan.",四川新闻网·甘孜
Morel,vegetable,I,I,I,.,.,.,.,.,.,.,.,.,,,Harvest months for Sichuan.,四川在线
Mulberry,fruit,.,.,.,I,I,.,.,.,.,.,.,.,,,"Harvest months for Chengdu area, Sichuan.",成都商报
Pea shoots,vegetable,I,I,I,.,.,.,.,.,.,I,I,I,,,Harvest months for Sichuan.,四川在线
peach,fruit,.,.,.,.,.,I,I,I,.,.,.,.,,,"Harvest months for Longquanyi, Chengdu.",腾讯新闻
pear,fruit,.,.,.,.,.,.,I,I,.,.,.,.,,,"Harvest months for Lizhou, Guangyuan, Sichuan.",四川在线
Persimmon,fruit,.,.,.,.,.,.,.,.,I,I,.,.,,,"Harvest months for Jiuzhaigou, Aba, Sichuan.",中国地理标志产品
Pomegranate,fruit,.,.,.,.,.,.,.,I,I,.,.,.,,,"Harvest months for Huili, Sichuan.",人民日报海外版
pomelo,fruit,I,I,.,.,.,.,.,.,.,I,I,I,,,"Harvest months for Hejiang, Luzhou, Sichuan.",四川在线
Pumpkin,vegetable,.,.,.,.,.,I,I,I,I,I,.,.,,,Harvest months for Sichuan.,川观新闻
Radish,vegetable,I,I,.,.,.,.,.,.,.,.,I,I,,,Harvest months for Sichuan.,川观新闻
Shiranui / dekopon,fruit,.,.,I,I,I,.,.,.,.,.,.,.,,,"Harvest months for Danling, Meishan, Sichuan.",Meishan local news
strawberry,fruit,I,I,I,I,.,.,.,.,.,.,I,I,,,"Harvest months for Chengdu area, Sichuan.",川观新闻
Sweet cherry,fruit,.,.,.,.,I,I,I,.,.,.,.,.,,,"Harvest months for Hanyuan, Ya'an, Sichuan.",雅安市人民政府
Sweet potato,vegetable,.,.,.,.,.,.,I,I,I,I,I,.,,,Harvest months for Sichuan.,四川省农业农村厅
sweetcorn,vegetable,.,.,.,.,I,I,I,I,I,I,.,.,,,Harvest months for Sichuan.,川观新闻
Water spinach,vegetable,.,.,I,I,I,I,I,I,I,I,I,.,,,Harvest months for Sichuan.,川观新闻
Watermelon,fruit,.,.,.,I,I,I,I,.,.,.,.,.,,,"Harvest months for Chengdu and surrounds, Sichuan.",川观新闻
