item,category,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,peak_months,stored_notes,regions_notes,specialist_sources
apple,fruit,.,.,.,.,.,.,.,.,.,I,.,.,,,"Harvest months for Yantai, Shandong.",央广网 山东
apricot,fruit,.,.,.,.,.,I,I,.,.,.,.,.,,,"Harvest months for Xiazhuang, Chengyang, Qingdao, Shandong.",齐鲁网
aubergine,vegetable,I,I,I,I,I,.,.,.,I,I,I,I,,,"Harvest months for Weifang, Shandong.",齐鲁网·潍坊
blueberry,fruit,.,.,I,I,I,I,I,.,.,.,.,.,,,"Harvest months for Huangdao / West Coast New Area, Qingdao, Shandong.",腾讯新闻
Carrot,vegetable,.,.,.,.,I,I,I,.,.,.,I,I,,,"Harvest months for Dianbu, Laiyang, Yantai, Shandong.",腾讯新闻
chestnut,nut,.,.,.,.,.,.,.,.,I,.,.,.,,,"Harvest months for Tianmeng Mountain, Linyi, Shandong.",齐鲁网·临沂
Chinese cabbage,vegetable,.,.,.,.,.,.,.,.,.,I,I,.,,,Harvest months for Shandong.,齐鲁网
Chinese yam,vegetable,I,I,I,.,.,.,.,.,.,I,I,I,,,"Harvest months for Chenji, Heze, Shandong.",中国地理标志产品
chives,herb,I,I,I,.,.,.,.,.,.,.,I,I,,,"Harvest months for Shouguang, Weifang, Shandong.",中国蔬菜
cucumber,vegetable,.,.,.,.,.,I,I,I,I,I,I,.,,,"Harvest months for Shidao, Rongcheng, Weihai, Shandong.",齐鲁网·威海
Dazeshan grape,fruit,.,.,.,.,.,.,.,.,I,.,.,.,,,"Harvest months for Dazeshan, Pingdu, Qingdao, Shandong.",青岛市史志办
Feicheng peach,fruit,.,.,.,.,.,.,.,I,I,.,.,.,,,"Harvest months for Feicheng, Shandong.",肥城网
fig,fruit,.,.,.,.,.,.,I,I,I,I,I,.,,,"Harvest months for Jining, Shandong.",齐鲁网·济宁
garlic,vegetable,.,.,.,.,I,.,.,.,.,.,.,.,,,"Harvest months for Jinxiang, Jining, Shandong.",今日头条
Jinsi jujube,fruit,.,.,.,.,.,.,.,.,I,.,.,.,,,"Harvest months for Leling, Dezhou, Shandong.",Geographical indication product standard
Laiyang pear,fruit,.,.,.,.,.,.,.,.,I,I,.,.,,,"Harvest months for Laiyang, Shandong.",Geographical indication product standard
melon,fruit,.,.,.,.,I,I,I,I,.,.,.,.,,,"Harvest months for Dongying, Shandong.",齐鲁网·东营
Mengyin peach,fruit,.,.,.,.,.,I,I,I,I,.,.,.,,,"Harvest months for Mengyin, Linyi, Shandong.",新华网 山东
Mulberry,fruit,.,I,I,I,I,I,.,.,.,.,.,.,,,"Harvest months for Weifang, Shandong.",齐鲁网·潍坊
pear,fruit,.,.,.,.,.,.,.,.,I,I,.,.,,,"Harvest months for Tai'an, Shandong.",齐鲁网·泰安
Pomegranate,fruit,.,.,.,.,.,.,.,I,I,.,.,.,,,"Harvest months for Yicheng, Zaozhuang, Shandong.",中国地理标志产品
Potato,vegetable,.,.,.,I,I,I,.,.,.,I,I,I,,,"Harvest months for Tengzhou, Zaozhuang, Shandong.",山东省科学技术厅
Radish,vegetable,.,.,.,.,.,.,.,.,.,I,I,.,,,Harvest months for Shandong.,齐鲁网
Spring Chinese cabbage,vegetable,.,.,.,I,I,I,.,.,.,.,.,.,,,"Harvest months for Qingdao, Shandong.",齐鲁网
strawberry,fruit,I,I,I,I,I,.,.,.,.,.,.,I,,,"Harvest months for Linyi, Shandong.",齐鲁网·临沂
Sweet cherry,fruit,.,.,.,.,I,I,.,.,.,.,.,.,,,"Harvest months for Yantai, Shandong.",大众网
sweetcorn,vegetable,.,.,.,.,.,I,I,.,.,.,.,.,,,"Harvest months for Binzhou, Shandong.",腾讯新闻
Taro,vegetable,.,.,.,.,.,.,.,I,I,.,.,.,,,"Harvest months for Laiyang, Yantai, Shandong.",澎湃新闻·地标日历
Tomato,vegetable,I,I,I,I,I,I,I,.,.,.,I,I,,,"Harvest months for Dezhou, Shandong.",齐鲁网·德州
Watermelon,fruit,.,.,.,I,I,I,I,.,.,.,.,.,,,"Harvest months for Nanwangdian, Dingtao, Heze, Shandong.",齐鲁网
Winter jujube,fruit,.,.,.,.,.,.,.,.,I,I,.,.,,,"Harvest months for Zhanhua, Shandong.",新华网
Zhangqiu scallion,vegetable,.,.,.,.,.,.,.,.,.,I,I,I,,,"Harvest months for Zhangqiu, Shandong.",北京日报客户端
