month,recipe,in_season_produce_used,source_name,source_url
january,Leek & potato soup (vichyssoise),"leeks, potatoes",BBC Good Food,https://www.bbcgoodfood.com/recipes/leek-potato-soup
february,Rhubarb crumble,forced rhubarb,BBC Good Food,https://www.bbcgoodfood.com/recipes/rhubarb-crumble
march,Purple sprouting broccoli with almonds,purple sprouting broccoli,BBC Good Food,https://www.bbcgoodfood.com/recipes/purple-sprouting-broccoli-almonds
april,Asparagus risotto,asparagus,BBC Good Food,https://www.bbcgoodfood.com/recipes/asparagus-risotto
may,Jersey Royal salad with horseradish cream,Jersey Royals (peak May-Jun),BBC Good Food,https://www.bbcgoodfood.com/recipes/jersey-royal-salad-horseradish-cream
june,Eton mess,strawberries,BBC Good Food,https://www.bbcgoodfood.com/recipes/eton-mess
july,"Broad bean, feta & watercress salad","broad beans, watercress",BBC Good Food,https://www.bbcgoodfood.com/recipes/broad-bean-feta-watercress-salad
august,Apple & blackberry crumble,"blackberries (early), early apples",BBC Good Food,https://www.bbcgoodfood.com/recipes/apple-blackberry-crumble
september,Damson jam,damsons,BBC Good Food,https://www.bbcgoodfood.com/recipes/damson-jam
october,Pumpkin soup,pumpkin & squash,BBC Good Food,https://www.bbcgoodfood.com/recipes/pumpkin-soup
november,Parsnip soup with parsley cream,parsnips (best after first frosts),BBC Good Food,https://www.bbcgoodfood.com/recipes/parsnip-soup-parsley-cream
december,Roasted brussels sprouts with bacon & chestnuts,"brussels sprouts, chestnuts",BBC Good Food,https://www.bbcgoodfood.com/recipes/roasted-brussels-sprouts-bacon-chestnuts
