item,category,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,peak_months,stored_notes,regions_notes,specialist_sources
apple,fruit,.,.,.,.,.,.,.,.,.,I,I,.,,,"Harvest months for Aksu, Xinjiang.",新疆日报
apricot,fruit,.,.,.,.,I,I,.,.,.,.,.,.,,,"Harvest months for Turpan, Xinjiang.",天山网
blackcurrant,fruit,.,.,.,.,.,.,I,I,.,.,.,.,,,"Harvest months for Quanzijie town, Jimsar, Changji, Xinjiang.",中新网·新疆
blueberry,fruit,.,.,I,I,.,.,.,.,.,.,.,.,,,"Harvest months for Jiashi, Kashgar, Xinjiang.",天山网
Carrot,vegetable,.,.,.,.,.,.,.,.,.,I,.,.,,,"Harvest months for Tekes, Ili, Xinjiang.",中新网·新疆
cherry,fruit,.,.,.,.,I,I,I,.,.,.,.,.,,,"Harvest months for Upal, Shufu County, Kashgar, Xinjiang.",中新网新疆
chillies,vegetable,.,.,.,.,.,.,.,.,I,I,.,.,,,"Harvest months for Yanqi County, Bayingolin, Xinjiang.",焉耆回族自治县人民政府
Chinese cabbage,vegetable,.,.,.,.,.,.,.,.,I,.,.,.,,,"Harvest months for Yanqi, Bayingolin, Xinjiang.",新华网 新疆
Chinese chives,herb,.,.,.,I,.,.,.,.,.,.,.,.,,,"Harvest months for Urumqi, Xinjiang.",天山网
Cowpea / yard-long bean,vegetable,.,.,.,.,.,.,I,I,.,.,.,.,,,"Harvest months for Wushi and Zepu, Xinjiang.",中新网·新疆
crab apple,fruit,.,.,.,.,.,.,.,I,I,.,.,.,,,"Harvest months for Changji Prefecture, Xinjiang.",昌吉州林草局
cucumber,vegetable,.,.,.,.,I,.,.,.,.,.,.,.,,,"Harvest months for Urumqi, Xinjiang.",天山网
European plum,fruit,.,.,.,.,.,.,.,I,I,.,.,.,,,"Harvest months for Jiashi, Kashgar, Xinjiang.",中新网新疆
fig,fruit,.,.,.,.,.,.,I,I,I,I,.,.,,,Harvest months for Xinjiang.,中新网新疆
garlic,vegetable,.,.,.,.,.,.,.,.,I,.,.,.,,,"Harvest months for Jimsar, Changji, Xinjiang.",中国天气网 新疆
Goji,fruit,.,.,.,.,.,I,I,.,I,I,.,.,,,Harvest months for Xinjiang.,新疆维吾尔自治区林业和草原局
Grape,fruit,.,.,.,.,.,.,I,I,I,I,.,.,,,"Harvest months for Turpan, Xinjiang.",乌鲁木齐本地宝
Hami melon,fruit,.,.,.,.,I,I,I,I,I,I,.,.,,,"Harvest months for Turpan, Xinjiang.",人民网 新疆
Jiashi melon,fruit,.,.,.,.,.,.,I,I,.,.,.,.,,,"Harvest months for Jiashi, Kashgar, Xinjiang.",中国网
Jujube,fruit,.,.,.,.,.,.,.,.,.,I,I,.,,,"Harvest months for Lop County, Hotan, Xinjiang.",中新网新疆
Kidney bean,vegetable,.,.,.,.,.,.,.,.,I,.,.,.,,,"Harvest months for Altay City and Fuyun, Xinjiang.",天山网
Kuqa white apricot,fruit,.,.,.,.,I,I,.,.,.,.,.,.,,,"Harvest months for Kuqa, Aksu, Xinjiang.",阿拉尔新闻网
Morel,vegetable,.,.,.,I,I,.,.,.,.,.,.,.,,,"Harvest months for Shawan, Tacheng Prefecture, Xinjiang.",中新网·新疆
Mulberry,fruit,.,.,.,.,I,I,.,.,.,.,.,.,,,Harvest months for Xinjiang.,天山网
Oleaster / Russian olive,fruit,.,.,.,.,.,.,.,.,I,I,I,.,,,"Harvest months for Southern Xinjiang, Turpan-Hami basin, north Tianshan, Xinjiang.",新疆维吾尔自治区市场监督管理局 DB65/T 4727—2023
Onion,vegetable,.,.,.,.,.,.,I,.,.,.,.,.,,,"Harvest months for Yecheng, Kashgar, Xinjiang.",中新网·新疆
peach,fruit,.,.,.,.,.,I,I,I,I,.,.,.,,,"Harvest months for Weibei peach orchard, Xinjiang.",中新网新疆
pear,fruit,.,.,.,.,.,.,.,.,I,I,.,.,,,"Harvest months for Korla, Bayingolin, Xinjiang.",库尔勒市人民政府
Pomegranate,fruit,.,.,.,.,.,.,.,.,.,I,.,.,,,"Harvest months for Hotan Prefecture, Xinjiang.",中国青年报客户端
Potato,vegetable,.,.,.,.,.,.,.,.,I,.,.,.,,,"Harvest months for Barkol, Hami, Xinjiang.",中新网·新疆
Pumpkin,vegetable,.,.,.,.,.,.,.,.,.,I,.,.,,,"Harvest months for Fuhai, Altay, Xinjiang.",中新网·新疆
raspberry,fruit,.,.,.,.,.,I,I,I,I,I,.,.,,,"Harvest months for Beitun, XPCC 10th Division, Xinjiang.",中新网·兵团
Sea buckthorn,fruit,.,.,.,.,.,.,.,.,I,.,.,.,,,"Harvest months for Habahe, Altay, Xinjiang.",阿勒泰地区行政公署
Small white apricot,fruit,.,.,.,.,I,I,I,.,.,.,.,.,,,"Harvest months for Luntai, Bayingolin, Xinjiang.",lookxj
Tomato,vegetable,.,.,.,.,.,.,.,I,I,I,.,.,,,"Harvest months for Changji city, Xinjiang.",昌吉市人民政府
Turnip,vegetable,.,.,.,.,.,.,.,.,.,.,I,.,,,"Harvest months for Kalpin, Aksu, Xinjiang.",百度百科
Watermelon,fruit,.,.,.,.,I,I,.,.,.,.,.,.,,,"Harvest months for Turpan, Xinjiang.",天山网
White radish,vegetable,.,.,.,.,.,.,.,.,.,I,I,.,,,"Harvest months for Baicheng, Aksu, Xinjiang.",天山网
wild mushrooms,vegetable,.,.,.,I,I,I,I,I,I,I,.,.,,,Harvest months for Xinjiang.,中新网·新疆
