item,category,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,peak_months,stored_notes,regions_notes,specialist_sources
apple,fruit,.,.,.,.,.,.,I,I,I,I,I,.,,,"Harvest months for Zhaotong, Yunnan.",云南网
Avocado,fruit,I,I,.,.,.,.,.,.,.,.,I,I,,,"Harvest months for Menglian, Pu'er, Yunnan.",春城晚报
blueberry,fruit,I,I,I,I,.,.,.,.,.,.,.,I,,,"Harvest months for Chengjiang, Yuxi, Yunnan.",国际果蔬报道
broad beans,vegetable,I,I,.,.,.,.,.,.,.,.,.,I,,,"Harvest months for Luliang, Qujing, Yunnan.",云南网 曲靖频道
cauliflower,vegetable,.,I,.,.,.,.,.,.,.,.,.,.,,,"Harvest months for Tonghai, Yuxi, Yunnan.",春城晚报
cherry,fruit,.,.,.,I,I,.,.,.,.,.,.,.,,,"Harvest months for Ludian, Zhaotong, Yunnan.",新华网云南
Cherry tomato,vegetable,I,I,I,I,.,.,.,.,.,.,I,I,,,Harvest months for Yunnan.,云南省农业农村厅
chillies,vegetable,.,.,.,I,I,I,I,I,I,I,I,I,,,"Harvest months for Qiubei, Wenshan, Yunnan.",网易订阅
Chinese bayberry,fruit,.,I,I,I,I,.,.,.,.,.,.,.,,,"Harvest months for Shiping, Yunnan.",现代消费导报
Chu orange,fruit,.,.,.,.,.,.,.,.,.,.,I,.,,,"Harvest months for Xinping, Yunnan.",褚氏农业
Citrus,fruit,I,.,.,.,.,.,I,I,I,I,I,I,,,"Harvest months for Huaning, Yuxi, Yunnan.",maigoo
cucumber,vegetable,I,I,I,I,.,.,.,.,.,.,I,I,,,Harvest months for Yunnan.,云南省农业农村厅
garlic,vegetable,I,I,.,.,.,.,.,.,.,.,.,.,,,"Harvest months for Binju, Binchuan, Dali, Yunnan.",云南网 大理频道
Grape,fruit,.,.,.,.,.,I,I,I,I,I,.,.,,,"Harvest months for Binchuan, Dali, Yunnan.",每日甘肃
Green bean,vegetable,.,.,.,.,I,I,I,I,I,I,I,.,,,"Harvest months for Tonghai, Yuxi, Yunnan.",中国新闻网云南
Indian jujube / green jujube,fruit,I,I,I,.,.,.,.,.,I,I,I,I,,,"Harvest months for Yuanmou, Chuxiong, Yunnan.",云南网
Lemon,fruit,.,.,.,.,I,I,I,I,I,I,.,.,,,"Harvest months for Qina, Yunnan.",云南网
Loquat,fruit,I,I,I,I,.,.,.,.,.,I,I,I,,,Harvest months for Yunnan.,云南省农业农村厅
mango,fruit,.,.,.,.,.,.,I,I,I,I,.,.,,,"Harvest months for Huaping, Lijiang, Yunnan.",新华网
Matsutake,vegetable,.,.,.,.,.,.,I,I,I,.,.,.,,,"Harvest months for Shangri-La / Diqing, Yunnan.",人民网 云南
Morel,vegetable,.,I,I,I,.,.,.,.,.,.,.,.,,,"Harvest months for Daguan, Zhaotong, Yunnan.",云南网·昭通频道
Onion,vegetable,.,.,I,I,I,.,.,.,.,.,.,.,,,"Harvest months for Yuanmou, Chuxiong, Yunnan.",昆明信息港
Pea shoots,vegetable,I,I,I,.,.,.,.,.,.,I,I,I,,,"Harvest months for Guangnan, Wenshan, Yunnan.",网易订阅
peach,fruit,.,.,.,I,I,.,.,.,.,.,.,.,,,Harvest months for Yunnan standardised orchards.,云南日报网
pear,fruit,.,.,.,.,.,I,I,I,I,.,.,.,,,Harvest months for Yunnan.,云南网
Pepino melon,fruit,.,.,.,.,.,.,I,I,I,I,I,.,,,"Harvest months for Xijiekou, Shilin, Kunming, Yunnan.",中新网
Pomegranate,fruit,.,.,.,.,.,.,.,I,I,I,I,.,,,"Harvest months for Mengzi, Yunnan.",Geographical indication product standard
Potato,vegetable,.,.,.,.,.,.,.,I,I,.,.,.,,,"Harvest months for Zhaotong, Yunnan.",昆明信息港
strawberry,fruit,I,I,I,I,.,.,.,.,.,I,I,I,,,"Harvest months for Jiuxi, Jiangchuan, Yuxi, Yunnan.",新浪财经
Tomato,vegetable,I,I,I,.,.,.,.,I,I,I,I,I,,,"Harvest months for Yuanmou, Chuxiong, Yunnan.",元谋县人民政府
Watermelon,fruit,.,.,I,I,.,.,.,.,.,.,.,.,,,Harvest months for Yunnan.,国际果蔬报道
wild mushrooms,vegetable,.,.,.,.,.,I,I,I,I,I,I,.,,,Harvest months for Yunnan.,云南日报
